No,건물명,호실코드,호실명,호실구분,수용인원
1,원효관,A102,불교미술3,실습실,20
2,원효관,A103,불교미술4,실습실,20
3,원효관,A104,불교미술2,실습실,20
4,원효관,A105,불교미술유산실습실,실습실,10
5,원효관,A106,공용실습실,실습실,30
6,원효관,A109,유아교육과스마트실습실,실습실,30
7,원효관,A110,A110,강의실,35
8,원효관,A112,유아교육과스마트강의실,실습실,25
9,원효관,A113,유아교육과수업행동분석실,강의실,40
10,원효관,A115,불교미술유산세미나실,실습실,20
11,원효관,A116,불교미술1,실습실,20
12,원효관,A118,불교미술대학원실,실습실,15
13,원효관,A119,불교문화대학원실,실습실,15
14,원효관,A200,A200,강의실,30
15,원효관,A201,A201,강의실,45
16,원효관,A202,A202,강의실,45
17,원효관,A204,A204,강의실,70
18,원효관,A205,원효관컴퓨터실A,컴퓨터실습실,40
19,원효관,A207,A207,강의실,130
20,원효관,A208,A208,강의실,150
21,원효관,A209,A209,강의실,150
22,원효관,A212,원효관컴퓨터실C,컴퓨터실습실,40
23,원효관,A213,A213,강의실,22
24,원효관,A214,A214,강의실,22
25,원효관,A215,원효관컴퓨터실B,컴퓨터실습실,40
26,원효관,A220,A220(교양비교과전용),강의실,40
27,원효관,A222,A222,강의실,40
28,원효관,A301,A301,강의실,50
29,원효관,A302,A302,강의실,60
30,원효관,A303,A303,강의실,70
31,원효관,A304,A304,강의실,60
32,원효관,A305,A305,강의실,65
33,원효관,A306,A306,강의실,65
34,원효관,A307,A307,강의실,130
35,원효관,A308,A308,강의실,150
36,원효관,A309,A309,강의실,150
37,원효관,A310,A310,강의실,22
38,원효관,A311,A311,강의실,22
39,원효관,A312,A312,강의실,22
40,원효관,A313,A313,강의실,22
41,원효관,A314,A314,강의실,22
42,원효관,A315,A315,강의실,22
43,원효관,A316,A316,강의실,55
44,원효관,A317,A317,강의실,55
45,원효관,A318,A318,강의실,50
46,원효관,A319,A319(HyFlex),강의실,50
47,원효관,A320,A320,강의실,50
48,원효관,A321,A321(HyFlex),강의실,50
49,원효관,A322,A322,강의실,50
50,원효관,A323,A323,강의실,50
51,원효관,A324,A324,강의실,50
52,원효관,A401,A401,강의실,30
53,원효관,A402,A402,강의실,40
54,원효관,A403,A403,강의실,35
55,원효관,A404,A404,강의실,35
56,원효관,A405,A405,강의실,35
57,원효관,A406,A406,강의실,35
58,원효관,A407,A407,강의실,75
59,원효관,A408,A408,강의실,75
60,원효관,A409,영유아교육세미나실,강의실,12
61,원효관,A502,GLOBAL ACE   HALL(AI융합세미나실),세미나실,145
62,진흥관,B101,B101,강의실,62
63,진흥관,B103,B103(첨단강의실),강의실,70
64,진흥관,B106,호텔관광경영스마트랩,컴퓨터실습실,30
65,진흥관,B201,B201(HyFlex),강의실,80
66,진흥관,B202,B202,강의실,70
67,진흥관,B203,진흥관컴퓨터실B,컴퓨터실습실,40
68,진흥관,B204,정보경영전산실습실(HyFlex),컴퓨터실습실,22
69,진흥관,B205,진흥관컴퓨터실A,컴퓨터실습실,40
70,진흥관,B206,B206,강의실,70
71,진흥관,B207,행정·경찰공공학부실습실,실습실,20
72,진흥관,B301,B301,강의실,75
73,진흥관,B302,B302,강의실,70
74,진흥관,B303,B303(HyFlex),강의실,80
75,진흥관,B304,B304,강의실,75
76,진흥관,B306,B306,강의실,55
77,진흥관,B307,B307,강의실,55
78,진흥관,B308,B308,강의실,75
79,진흥관,B309,사회복지학과집단지도실,실습실,9
80,진흥관,B310,B310,강의실,70
81,진흥관,B401,B401,강의실,95
82,진흥관,B402,B402,강의실,80
83,진흥관,B403,B403(HyFlex),강의실,42
84,진흥관,B404,B404,강의실,80
85,진흥관,B405,B405,강의실,65
86,진흥관,B406,B406,강의실,55
87,진흥관,B407,B407,강의실,55
88,진흥관,B408,B408,강의실,40
89,진흥관,B409,B409,강의실,35
90,진흥관,B501,B501,강의실,40
91,자연과학관,S101,S101,강의실,35
